Date : 2023-10-30 14:59:04
Directory : /Users/vesperal_kite/important_files/Graphitron/lib
Total : 127 files,  3224 codes, 582 comments, 1135 blanks, all 4941 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        116 |      2,477 |        464 |        941 |      3,882 |
| C        |          2 |        762 |        118 |        198 |      1,078 |
| Makefile |          8 |         61 |         10 |         22 |         93 |
| Python   |          1 |        -76 |        -10 |        -26 |       -112 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        127 |      3,224 |        582 |      1,135 |      4,941 |
| ..                                                                                                          |         34 |     -6,098 |       -364 |     -1,051 |     -7,513 |
| ../src                                                                                                      |         34 |     -6,098 |       -364 |     -1,051 |     -7,513 |
| ../src (Files)                                                                                              |          3 |       -129 |        -20 |        -44 |       -193 |
| ../src/backend                                                                                              |          8 |     -1,606 |        -69 |       -153 |     -1,828 |
| ../src/frontend                                                                                             |          8 |     -2,649 |       -169 |       -535 |     -3,353 |
| ../src/midend                                                                                               |         13 |     -1,535 |        -98 |       -295 |     -1,928 |
| ../src/utils                                                                                                |          2 |       -179 |         -8 |        -24 |       -211 |
| 0                                                                                                           |         44 |      4,106 |        449 |        907 |      5,462 |
| 0/libfpga                                                                                                   |         13 |      2,426 |         82 |        491 |      2,999 |
| 0/libgraph                                                                                                  |         26 |      1,592 |        355 |        384 |      2,331 |
| 0/libgraph (Files)                                                                                          |          7 |        386 |         40 |        122 |        548 |
| 0/libgraph/kernel                                                                                           |          2 |         34 |          1 |         12 |         47 |
| 0/libgraph/memory                                                                                           |          6 |        360 |          9 |         62 |        431 |
| 0/libgraph/misc                                                                                             |          6 |        396 |          6 |         66 |        468 |
| 0/libgraph/scheduler                                                                                        |          2 |          0 |          2 |          0 |          2 |
| 0/libgraph/xcl                                                                                              |          3 |        416 |        297 |        122 |        835 |
| 0/template                                                                                                  |          5 |         88 |         12 |         32 |        132 |
| 0/template/app                                                                                              |          1 |         20 |          1 |         14 |         35 |
| 0/template/kernel                                                                                           |          4 |         68 |         11 |         18 |         97 |
| 1                                                                                                           |         49 |      5,216 |        497 |      1,279 |      6,992 |
| 1/libfpga                                                                                                   |         13 |      2,426 |         82 |        491 |      2,999 |
| 1/libgraph                                                                                                  |         29 |      2,499 |        393 |        648 |      3,540 |
| 1/libgraph (Files)                                                                                          |          7 |        599 |         64 |        203 |        866 |
| 1/libgraph/kernel                                                                                           |          2 |        115 |          2 |         39 |        156 |
| 1/libgraph/memory                                                                                           |          6 |        600 |         19 |        115 |        734 |
| 1/libgraph/misc                                                                                             |          7 |        539 |         10 |        105 |        654 |
| 1/libgraph/scheduler                                                                                        |          4 |        230 |          1 |         64 |        295 |
| 1/libgraph/scheduler (Files)                                                                                |          2 |         68 |          1 |         27 |         96 |
| 1/libgraph/scheduler/normal                                                                                 |          1 |         44 |          0 |         13 |         57 |
| 1/libgraph/scheduler/secondOrderEstimator                                                                   |          1 |        118 |          0 |         24 |        142 |
| 1/libgraph/xcl                                                                                              |          3 |        416 |        297 |        122 |        835 |
| 1/template                                                                                                  |          7 |        291 |         22 |        140 |        453 |
| 1/template/app                                                                                              |          3 |         30 |          4 |         24 |         58 |
| 1/template/kernel                                                                                           |          4 |        261 |         18 |        116 |        395 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                    | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_application.h                            | C++      |         11 |          6 |         12 |         29 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_apply.h                                  | C++      |         49 |          0 |         13 |         62 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_cache.h                                  | C++      |        667 |         16 |        124 |        807 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_decoder.h                                | C++      |        527 |          0 |          5 |        532 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_edge_prop.h                              | C++      |         90 |          0 |         17 |        107 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_filter.h                                 | C++      |         37 |          8 |         12 |         57 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_gather.h                                 | C++      |         96 |          3 |         28 |        127 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_global_mem.h                             | C++      |        148 |          0 |         48 |        196 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_gs_top.h                                 | C++      |        160 |         12 |         57 |        229 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_process_edge.h                           | C++      |        122 |         21 |         40 |        183 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_raw_solver.h                             | C++      |        220 |         15 |         32 |        267 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/fpga_slice.h                                  | C++      |        127 |          0 |         24 |        151 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libfpga/graph_fpga.h                                  | C++      |        172 |          1 |         79 |        252 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/common.h                                     | C++      |         39 |          0 |         25 |         64 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/host_graph_api.h                             | C++      |         18 |          2 |          7 |         27 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/host_graph_data_structure.h                  | C++      |         54 |          1 |         28 |         83 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/host_graph_dataflow.cpp                      | C++      |         41 |          1 |         14 |         56 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/host_graph_partition.cpp                     | C++      |        173 |         32 |         34 |        239 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/host_graph_sw.h                              | C++      |         13 |          0 |          7 |         20 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/intrinsics.h                                 | C++      |         48 |          4 |          7 |         59 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/kernel/host_graph_kernel.cpp                 | C++      |         30 |          1 |         10 |         41 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/kernel/host_graph_kernel.h                   | C++      |          4 |          0 |          2 |          6 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/memory/he_mapping.cpp                        | C++      |          0 |          1 |          1 |          2 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/memory/he_mem.cpp                            | C++      |        203 |          4 |         24 |        231 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/memory/he_mem.h                              | C++      |         42 |          1 |         21 |         64 |
| /Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/memory/he_mem_attr.h                         | C++      |         15 |          0 |          3 |         18 |
