Date : 2023-10-30 14:59:04
Directory : /Users/vesperal_kite/important_files/Graphitron/lib
Total : 93 files,  9322 codes, 946 comments, 2186 blanks, all 12454 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         83 |      8,499 |        818 |      1,966 |     11,283 |
| C        |          2 |        762 |        118 |        198 |      1,078 |
| Makefile |          8 |         61 |         10 |         22 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         93 |      9,322 |        946 |      2,186 |     12,454 |
| 0                                                                                                           |         44 |      4,106 |        449 |        907 |      5,462 |
| 0/libfpga                                                                                                   |         13 |      2,426 |         82 |        491 |      2,999 |
| 0/libgraph                                                                                                  |         26 |      1,592 |        355 |        384 |      2,331 |
| 0/libgraph (Files)                                                                                          |          7 |        386 |         40 |        122 |        548 |
| 0/libgraph/kernel                                                                                           |          2 |         34 |          1 |         12 |         47 |
| 0/libgraph/memory                                                                                           |          6 |        360 |          9 |         62 |        431 |
| 0/libgraph/misc                                                                                             |          6 |        396 |          6 |         66 |        468 |
| 0/libgraph/scheduler                                                                                        |          2 |          0 |          2 |          0 |          2 |
| 0/libgraph/xcl                                                                                              |          3 |        416 |        297 |        122 |        835 |
| 0/template                                                                                                  |          5 |         88 |         12 |         32 |        132 |
| 0/template/app                                                                                              |          1 |         20 |          1 |         14 |         35 |
| 0/template/kernel                                                                                           |          4 |         68 |         11 |         18 |         97 |
| 1                                                                                                           |         49 |      5,216 |        497 |      1,279 |      6,992 |
| 1/libfpga                                                                                                   |         13 |      2,426 |         82 |        491 |      2,999 |
| 1/libgraph                                                                                                  |         29 |      2,499 |        393 |        648 |      3,540 |
| 1/libgraph (Files)                                                                                          |          7 |        599 |         64 |        203 |        866 |
| 1/libgraph/kernel                                                                                           |          2 |        115 |          2 |         39 |        156 |
| 1/libgraph/memory                                                                                           |          6 |        600 |         19 |        115 |        734 |
| 1/libgraph/misc                                                                                             |          7 |        539 |         10 |        105 |        654 |
| 1/libgraph/scheduler                                                                                        |          4 |        230 |          1 |         64 |        295 |
| 1/libgraph/scheduler (Files)                                                                                |          2 |         68 |          1 |         27 |         96 |
| 1/libgraph/scheduler/normal                                                                                 |          1 |         44 |          0 |         13 |         57 |
| 1/libgraph/scheduler/secondOrderEstimator                                                                   |          1 |        118 |          0 |         24 |        142 |
| 1/libgraph/xcl                                                                                              |          3 |        416 |        297 |        122 |        835 |
| 1/template                                                                                                  |          7 |        291 |         22 |        140 |        453 |
| 1/template/app                                                                                              |          3 |         30 |          4 |         24 |         58 |
| 1/template/kernel                                                                                           |          4 |        261 |         18 |        116 |        395 |
